cycle_classifier,state_classifier,Abnormal mean F1-score,Abnormal mean Precision,Abnormal mean Recall,Normal mean F1-score,Normal mean Precision,Normal mean Recall,Overall mean F1-score,Overall mean Precision,Overall mean Recall,Abnormal std F1-score,Abnormal std Precision,Abnormal std Recall,Normal std F1-score,Normal std Precision,Normal std Recall,Overall std F1-score,Overall std Precision,Overall std Recall
XGB,DT,68.4197606559779,69.9661063599774,67.196261682243,95.1288646974813,93.4667935638025,96.8678739101274,90.5073649754501,89.4822006472492,91.5562913907285,1.50092086746952,3.74106822431747,3.14024254512363,0.665939689651833,1.27138457416201,0.865710906117693,0.654664484451719,0.647249190938509,0.662251655629138
XGB,ET,76.043257224898,75.1247584468194,77.0093457943925,95.4489386265081,93.9348537447581,97.0271629778672,92.7986906710311,91.747572815534,93.8741721854305,0.819535701382574,0.756354838575141,1.62949493216474,0.803033671665396,1.37714722711481,0.809202778362258,0.219581143453333,0.217093978398036,0.222125958029781
XGB,MLP,73.2840260006167,72.7101981238366,73.9252336448598,95.5244330775485,94.0843515133189,97.0221327967807,91.8494271685761,90.8090614886731,92.9139072847682,2.51324477713466,2.17599957688777,3.4831112436606,0.770521191599105,1.30802003995498,0.770915253950424,0.837100612277863,0.827618890132324,0.846802109440029
NB,RF,61.3946654343868,51.1109612005699,81.6822429906542,94.487134616572,94.468371582621,94.8088531187123,82.4222585924714,81.4886731391586,83.3774834437086,9.84643477733704,14.5929947468488,4.09938545784324,3.22406731507912,1.5125442465155,6.37023530950444,7.41615243517287,7.33215070856087,7.50210122167321
NB,DT,62.1711678347379,59.9671261367004,68.6915887850467,94.0983920701707,94.3464697111284,94.2109801667146,85.7446808510638,84.7734627831715,86.7384105960265,8.48181823883784,15.0991875940514,7.23016651863232,3.64174854687331,1.52595695670217,7.09593724785331,7.01035702988993,6.93095169136367,7.09160288950786
NB,ET,70.6590475221415,64.6047158588701,80.0934579439252,94.0433211089355,94.5256744976467,93.9310865191147,88.8379705400982,87.831715210356,89.8675496688742,9.55805079815372,13.1064339903075,3.71605520599459,3.76339617388879,1.53761518298846,7.24174497270285,6.50922200810762,6.43549295623586,6.58466001151285
NB,MLP,58.7044776597097,51.0526796913032,76.7289719626168,93.0981967015675,94.5644508370483,92.4837916387212,79.2471358428805,78.3495145631068,80.1655629139073,12.494334013683,17.232109658771,7.75700934579439,6.80384065270212,1.53617505909096,10.4487218843423,15.6979274599468,15.5201192201092,15.879857082827
XGB,XGB,71.9626168224299,71.9626168224299,71.9626168224299,95.6349206349206,94.3248532289628,96.9818913480885,91.4893617021277,90.453074433657,92.5496688741722,,,,,,,,,
XGB,NB,62.200956937799,63.7254901960784,60.7476635514019,94.3731490621915,92.6356589147287,96.1770623742455,88.8707037643208,87.8640776699029,89.9006622516556,,,,,,,,,
NB,XGB,71.8181818181818,69.9115044247788,73.8317757009346,95.4091816367265,94.6534653465347,96.1770623742455,91.1620294599018,90.1294498381877,92.2185430463576,,,,,,,,,
NB,NB,63.768115942029,66,61.6822429906542,94.5812807881774,92.6640926640927,96.579476861167,89.3617021276596,88.3495145631068,90.3973509933775,,,,,,,,,
